TITLE;;YEAR_FOR_ANALYSIS;TONAL_CERTAINTY_PIECE;MEAN_TONAL_CERTAINTY_MEASURES;PITCH_CLASS_ENTROPY_PIECE;MEAN_PITCH_CLASS_ENTROPY_MEASURES;MAX_MELODIC_INTERVAL_ENTROPY_OF_ALL_TRACKS;MAX_MEAN_MELODIC_INTERVAL_ENTROPY_MEASURES;MAX_IOI_ENTROPY_OF_ALL_TRACKS;MAX_MEAN_IOI_ENTROPY_MEASURES;LENGTH
083-BRAHMS, Johannes - Waltz 06.mid;BRAHMS;1865;0.8661133870890747;1.0266234764045377;3.1771609193765755;3.086270631699884;3.829471386848141;2.3668051948985096;0.5442768458037672;0.31348264414668714;68.23326509999991
084-BRAHMS, Johannes - Waltz 07.mid;BRAHMS;1865;0.9372429286977885;1.017617027514321;3.230011638985448;3.160985448258254;3.065373199878922;1.9040340729839196;1.598571161358222;0.04869808337337877;94.54535999999983
085-BRAHMS, Johannes - Waltz 08.mid;BRAHMS;1865;1.2673485112543692;1.2392500450760104;3.0962568080702373;2.936557160936572;3.3257383914750456;1.0;1.6774980225535174;1.3380581469594097;72.42000000000006
086-BRAHMS, Johannes - Waltz 09.mid;BRAHMS;1865;0.8329286217884023;1.024189063209458;3.251888036964421;3.179329744855783;4.027991781344567;1.1258145836939113;0.9875257101057102;0.9831901851170823;55.34600799999999
087-BRAHMS, Johannes - Waltz 10.mid;BRAHMS;1865;1.3798049364397318;1.2363548096937276;3.1408713631928564;3.0174685623620263;3.7487584397314544;2.8031055038420734;1.1040664427977112;0.07304712506006815;33.21509635000006
088-BRAHMS, Johannes - Waltz 11.mid;BRAHMS;1865;0.8745729644209026;1.1027758394394147;3.2346215750748075;3.012001929446922;3.5336112271450593;1.8590492594018941;1.787548901113094;0.0;100.33206749999992
089-BRAHMS, Johannes - Waltz 12.mid;BRAHMS;1865;0.9716960180027833;0.9371343490237808;3.190295058069735;3.016663960009059;3.873321580372597;2.420684721699252;1.6640797096271758;1.1142971265156905;78.00000000000014
090-BRAHMS, Johannes - Waltz 13.mid;BRAHMS;1865;1.1251450286262643;0.9467426720541865;3.1956523985942598;3.0468942642153314;3.3714390657297972;2.7331340021231663;2.300937449042112;1.2993427087833984;41.19226650000004
091-BRAHMS, Johannes - Waltz 14.mid;BRAHMS;1865;1.0942050092526807;1.1122208600910046;3.3821651508627233;3.298864254588885;3.2816123859592716;2.992895335110969;1.8238219701134308;0.11198358670262243;72.18561124999869
092-BRAHMS, Johannes - Waltz 15.mid;BRAHMS;1865;1.2704676130816202;1.2464920127861943;2.696558645301441;2.6242811353527875;3.437237003375923;2.8277297828972348;2.0302839533668497;0.0;62.41462012499993
093-BRAHMS, Johannes - Waltz 16.mid;BRAHMS;1865;1.1377717186091494;1.1008112611699046;2.898069101915425;2.8608033469411396;3.5789514768844297;3.1805362544907636;1.3250112108241772;1.266550215849091;44.522682750000094
155-CHOPIN, Frederick Francois - Mazurka Op-67 No-01.mid;CHOPIN;1848;1.0345902471995476;1.2753115782146094;3.0750963491979686;2.939705707012589;3.4610126943986024;2.4706691667217444;2.340081905633376;0.925074338256935;67.29540549999999
156-CHOPIN, Frederick Francois - Mazurka Op-67 No-02.mid;CHOPIN;1848;1.0925214246866148;1.089690652428831;3.1699587188552396;3.09003360143733;3.424148252547479;2.0197317758019415;2.0224671990553165;0.7452474841873404;71.74817999999995
157-CHOPIN, Frederick Francois - Mazurka Op-67 No-03.mid;CHOPIN;1848;1.3054459673329029;1.4078173738200492;3.198596239567841;3.1506562740068484;3.0674516756199495;1.382588013723306;2.3495641550934634;0.3093296000648675;71.88321954999992
158-CHOPIN, Frederick Francois - Mazurka Op-67 No-04.mid;CHOPIN;1848;0.942128137784749;1.1752869423073498;3.214746266284364;3.092621207066276;3.627119093271466;1.191676014200496;1.6222305196959754;0.8335176563387368;151.04840166666733
159-CHOPIN, Frederick Francois - Nocturne No-01.mid;CHOPIN;1831;0.8891166257125812;1.0812502450395558;3.2797002234746118;3.174435350893204;3.6666766245034563;3.3251883821825876;2.762910268370891;0.1358392789969389;347.80797862499946
160-CHOPIN, Frederick Francois - Nocturne No-02.mid;CHOPIN;1831;1.1621911078164548;1.078213818762557;3.2108529528757837;3.173813097985751;3.453979840632293;3.0841530745088512;2.625955572101966;0.6509564061938358;243.29824327083338
161-CHOPIN, Frederick Francois - Nocturne No-03.mid;CHOPIN;1831;1.0318460134233776;0.9834807259007068;3.4411852786500754;3.330689276676804;4.233265705496866;3.6817029878597807;2.721269757222286;0.2700039696400742;395.6496582500033
162-CHOPIN, Frederick Francois - Nocturne No-04.mid;CHOPIN;1833;0.7228398127750167;0.8755148116374711;3.40427506445188;3.2449367677726775;3.825079102912435;3.4730435232395167;1.9485751956123516;1.2648866185662424;249.14160035416666
163-CHOPIN, Frederick Francois - Nocturne No-05.mid;CHOPIN;1833;1.2723431849437277;0.9791744022704829;3.3061582836384074;3.2347924321023642;4.218040339174007;3.816445191324956;2.2325717131662324;1.691864305437131;221.92998666666654
164-CHOPIN, Frederick Francois - Nocturne No-06.mid;CHOPIN;1833;0.9526099227568343;1.085230834033828;3.3444122878138702;3.0911692738852037;3.6485211746409703;2.8283613912725762;2.1112045564766495;0.9759259125472936;209.4368738750006
