TITLE;TYPE;LENGTH;TIME_SIGNATURE;TEMPO;DEFAULT_TIME_SIGNATURE;DEFAULT_TEMPO;DEFAULT_TIME_SIGNATURE_AND_TEMPO;POSITIVE[IF(TYPE==1&&NOT(DEFAULT_TIME_SIGNATURE_AND_TEMPO))];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
020-BACH, Johann Sebastian - BWV-0791 No-05 3-part Sinfonia in E.mid;1;118.22526041666671; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
021-BACH, Johann Sebastian - BWV-0792 No-06 3-part Sinfonia in E.mid;1;91.73437500000001; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
022-BACH, Johann Sebastian - BWV-0793 No-07 3-part Sinfonia in E.mid;1;126.4674479166667; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
023-BACH, Johann Sebastian - BWV-0794 No-08 3-part Sinfonia in F.mid;1;89.85807291666673; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
024-BACH, Johann Sebastian - BWV-0795 No-09 3-part Sinfonia in F.mid;1;161.3619791666665; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
025-BACH, Johann Sebastian - BWV-0796 No-10 3-part Sinfonia in G.mid;1;89.21354166666698; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
026-BACH, Johann Sebastian - BWV-0797 No-11 3-part Sinfonia in G.mid;1;103.04817708333333; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
027-BACH, Johann Sebastian - BWV-0798 No-12 3-part Sinfonia in A.mid;1;115.73437500000017; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
028-BACH, Johann Sebastian - BWV-0799 No-13 3-part Sinfonia in A.mid;1;104.73177083333366; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
029-BACH, Johann Sebastian - BWV-0800 No-14 3-part Sinfonia in B.mid;1;95.67838541666683; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;;;;;;;
