TITLE;TYPE;LENGTH;TEMPO;DEFAULT_TEMPO[IN_THIS_CASE_512820_YAMAHA_DISKLAVIER_STANDARD];POSITIVE[TYPE==1&&NOT(DEFAULT_TEMPO)];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
Chopin Prelude Op-28 No-18.mid;0;49.47377531249984; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-19.mid;0;69.13588171874939; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-20.mid;0;89.38692984374987; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-21.mid;0;105.42858046874957; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-22.mid;0;43.40674078124978; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-23.mid;0;53.07820546874994; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Prelude Op-28 No-24.mid;0;125.71835718749865; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Scherzo in b-moll Op-31.mid;0;517.0534359375329; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Sonate No-02 B-min Op-35 Mov-01.mid;0;395.32412390627644; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Sonate No-02 B-min Op-35 Mov-02 .mid;0;392.8575131250229; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Sonate No-02 B-min Op-35 Mov-03.mid;0;448.7415384375136; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Chopin Sonate No-02 B-min Op-35 Mov-04.mid;0;84.93447703124984; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Debussy Reflets dans l'eau (Reflections in the Water).mid;0;276.8378698333339; <meta message set_tempo tempo=512821 time=0>;0;0;-;;;;;;
Debussy Suite Bergamasque (1905) Clair de Lune.mid;0;250.48185421875044; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Debussy Suite Bergamasque (1905) Menuet.mid;0;251.86005796874844; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Debussy Suite Bergamasque (1905) Passe pied.mid;0;219.4762762499999; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Debussy Suite Bergamasque (1905) Prelude.mid;0;240.77166093750057; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Granados Danzas Espanolas (1900) N0-04 Villanesca.mid;0;285.3776526562504; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Granados Danzas Espanolas (1900) No-02 Oriental.mid;0;210.4124498437479; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Granados Danzas Espanolas (1900) No-3 Zarabanda.mid;0;191.57833406249836; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Grieg Lyrische Stucke Buch-01 (1867) Op-12 No-02 Waltz.mid;0;110.94005999999985; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Grieg Lyrische Stucke Buch-01 (1867) Op-12 No-03 Watchman's Song.mid;0;148.12084546874993; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Grieg Lyrische Stucke Buch-01 (1867) Op-12 No-04 Fairy Dance.mid;0;57.2048039062497; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
